system:index,class,strata,.geo
1_1_1_1_2_0,4,5,"{""type"":""Point"",""coordinates"":[178.2439447153762,-17.535702327545433]}"
1_1_1_2_0,5,5,"{""type"":""Point"",""coordinates"":[178.56176846325673,-18.05060938278248]}"
1_1_1_2_1,5,5,"{""type"":""Point"",""coordinates"":[178.56392587852187,-17.787129788759366]}"
1_1_1_2_2,5,5,"{""type"":""Point"",""coordinates"":[178.35272592804586,-17.79620650407022]}"
1_1_1_2_3,5,5,"{""type"":""Point"",""coordinates"":[178.21744733777547,-18.170175746486258]}"
1_1_1_2_4,5,5,"{""type"":""Point"",""coordinates"":[178.17512608956287,-18.210520084844674]}"
1_1_1_2_5,5,5,"{""type"":""Point"",""coordinates"":[178.1554671768937,-18.201530484210934]}"
1_1_1_2_6,5,5,"{""type"":""Point"",""coordinates"":[178.0539579631792,-18.258666362676667]}"
1_1_1_2_7,5,5,"{""type"":""Point"",""coordinates"":[177.56959608189595,-18.084749806709446]}"
1_1_1_2_8,5,5,"{""type"":""Point"",""coordinates"":[177.58053883714229,-18.080709046212032]}"
1_1_1_2_9,5,5,"{""type"":""Point"",""coordinates"":[177.3341865020335,-18.070604132759872]}"
1_1_1_2_10,5,5,"{""type"":""Point"",""coordinates"":[177.35802990028435,-18.079358223585825]}"
1_1_1_2_11,5,5,"{""type"":""Point"",""coordinates"":[177.35623009432044,-18.067771164859366]}"
1_1_1_2_12,5,5,"{""type"":""Point"",""coordinates"":[177.41137842171705,-18.081608337082482]}"
1_1_1_2_13,5,5,"{""type"":""Point"",""coordinates"":[177.32281025216446,-18.02752945714059]}"
1_1_1_2_14,5,5,"{""type"":""Point"",""coordinates"":[177.35649808198514,-17.91379843960034]}"
1_1_1_2_15,5,5,"{""type"":""Point"",""coordinates"":[177.3564094965202,-17.903641387696872]}"
1_1_1_2_16,5,5,"{""type"":""Point"",""coordinates"":[177.32702974082122,-17.90625148738997]}"
1_1_1_2_17,5,5,"{""type"":""Point"",""coordinates"":[177.2749432144817,-17.872034665960044]}"
1_1_1_2_18,5,5,"{""type"":""Point"",""coordinates"":[177.49070258360257,-17.833225015179202]}"
1_1_1_2_19,5,5,"{""type"":""Point"",""coordinates"":[177.76954116564013,-17.863313119728122]}"
1_1_1_2_20,5,5,"{""type"":""Point"",""coordinates"":[177.71133607333616,-17.844185103139882]}"
1_1_1_2_21,5,5,"{""type"":""Point"",""coordinates"":[177.81194375936667,-17.656168746657293]}"
1_1_1_2_22,5,5,"{""type"":""Point"",""coordinates"":[177.78624489856762,-17.43275592781771]}"
1_1_1_2_23,5,5,"{""type"":""Point"",""coordinates"":[177.78856489059717,-17.448038370775233]}"
1_1_1_2_24,5,5,"{""type"":""Point"",""coordinates"":[177.85928567892043,-17.511088711898875]}"
1_1_1_2_25,5,5,"{""type"":""Point"",""coordinates"":[177.90158974323998,-17.531650748947882]}"
