system:index,class,strata,.geo
1_1_1_1_1_2_0,3,6,"{""type"":""Point"",""coordinates"":[178.71007860088037,-16.710603332068416]}"
1_1_1_1_1_2_1,3,6,"{""type"":""Point"",""coordinates"":[179.40654760482516,-16.555191097025332]}"
1_1_1_1_1_2_2,3,6,"{""type"":""Point"",""coordinates"":[179.01614407843022,-16.76206738544049]}"
1_1_1_1_2_0,4,6,"{""type"":""Point"",""coordinates"":[178.1547403597446,-18.00660180146555]}"
1_1_1_1_2_1,4,6,"{""type"":""Point"",""coordinates"":[179.92190277891336,-16.478739622800326]}"
1_1_1_2_0,5,6,"{""type"":""Point"",""coordinates"":[177.91478067932633,-17.543331234195954]}"
1_1_1_2_1,5,6,"{""type"":""Point"",""coordinates"":[178.21573465790448,-17.49078737155077]}"
1_1_1_2_2,5,6,"{""type"":""Point"",""coordinates"":[178.27895454621355,-17.501838628904242]}"
1_1_1_2_3,5,6,"{""type"":""Point"",""coordinates"":[178.58162013432832,-17.66146047397877]}"
1_1_1_2_4,5,6,"{""type"":""Point"",""coordinates"":[179.01362572112816,-16.557702834278274]}"
1_1_1_2_5,5,6,"{""type"":""Point"",""coordinates"":[178.24133689138648,-17.529593327698727]}"
1_1_2_0,6,6,"{""type"":""Point"",""coordinates"":[177.33170215755246,-17.915235410133334]}"
1_1_2_1,6,6,"{""type"":""Point"",""coordinates"":[177.57307523937163,-18.02150588989417]}"
1_1_2_2,6,6,"{""type"":""Point"",""coordinates"":[177.4069804929568,-18.02950146406622]}"
1_1_2_3,6,6,"{""type"":""Point"",""coordinates"":[177.46769510272486,-17.911999887327426]}"
1_1_2_4,6,6,"{""type"":""Point"",""coordinates"":[177.47085140737738,-17.8650217083881]}"
1_1_2_5,6,6,"{""type"":""Point"",""coordinates"":[177.48827672834602,-17.84606669719032]}"
1_1_2_6,6,6,"{""type"":""Point"",""coordinates"":[177.52870600837502,-17.843189446083787]}"
1_1_2_7,6,6,"{""type"":""Point"",""coordinates"":[177.5216966839714,-17.791894493794288]}"
1_1_2_8,6,6,"{""type"":""Point"",""coordinates"":[177.532210657902,-17.790907045625808]}"
1_1_2_9,6,6,"{""type"":""Point"",""coordinates"":[177.5651733997763,-17.744010295686724]}"
1_1_2_10,6,6,"{""type"":""Point"",""coordinates"":[177.60739431592765,-17.989622745463087]}"
1_1_2_11,6,6,"{""type"":""Point"",""coordinates"":[177.62149509333705,-18.025097624253803]}"
1_1_2_12,6,6,"{""type"":""Point"",""coordinates"":[177.6320976006616,-18.012887015497395]}"
1_1_2_13,6,6,"{""type"":""Point"",""coordinates"":[177.64737234199677,-18.033722156989285]}"
1_1_2_14,6,6,"{""type"":""Point"",""coordinates"":[177.64943576631163,-18.023306496049045]}"
1_1_2_15,6,6,"{""type"":""Point"",""coordinates"":[177.65042616618473,-17.990063681322443]}"
1_1_2_16,6,6,"{""type"":""Point"",""coordinates"":[177.6681211090148,-17.93877133979884]}"
1_1_2_17,6,6,"{""type"":""Point"",""coordinates"":[177.68725611733248,-17.912539355226375]}"
1_1_2_18,6,6,"{""type"":""Point"",""coordinates"":[177.65859948025025,-17.834300261512475]}"
1_1_2_19,6,6,"{""type"":""Point"",""coordinates"":[177.76675445210492,-17.958355375411426]}"
1_1_2_20,6,6,"{""type"":""Point"",""coordinates"":[177.797480224806,-17.96913604002912]}"
1_1_2_21,6,6,"{""type"":""Point"",""coordinates"":[177.8291019273036,-17.86879281272799]}"
1_1_2_22,6,6,"{""type"":""Point"",""coordinates"":[177.91111766904112,-18.197305541243118]}"
1_1_2_23,6,6,"{""type"":""Point"",""coordinates"":[177.93141643420932,-17.879215279013994]}"
1_1_2_24,6,6,"{""type"":""Point"",""coordinates"":[177.92917310022676,-17.866631038392214]}"
