system:index,class,strata,.geo
1_1_1_1_1_1_2_0,2,2,"{""type"":""Point"",""coordinates"":[178.58287693637442,-16.651758146071653]}"
1_1_1_1_1_1_2_1,2,2,"{""type"":""Point"",""coordinates"":[178.5828715719564,-16.652652409392434]}"
1_1_1_1_1_1_2_2,2,2,"{""type"":""Point"",""coordinates"":[178.5702098896664,-16.666317701387698]}"
1_1_1_1_1_1_2_3,2,2,"{""type"":""Point"",""coordinates"":[178.55189864752862,-16.719138496459273]}"
1_1_1_1_1_1_2_4,2,2,"{""type"":""Point"",""coordinates"":[178.51783864531342,-16.741589825313344]}"
1_1_1_1_1_1_2_5,2,2,"{""type"":""Point"",""coordinates"":[178.7000237658017,-16.655340804831628]}"
1_1_1_1_1_1_2_6,2,2,"{""type"":""Point"",""coordinates"":[178.71418666737975,-16.668729146889344]}"
1_1_1_1_1_1_2_7,2,2,"{""type"":""Point"",""coordinates"":[178.71986755125823,-16.65499441648262]}"
1_1_1_1_1_1_2_8,2,2,"{""type"":""Point"",""coordinates"":[178.7248139069249,-16.648677575902656]}"
1_1_1_1_1_1_2_9,2,2,"{""type"":""Point"",""coordinates"":[178.9131936550682,-16.51269739076307]}"
1_1_1_1_1_1_2_10,2,2,"{""type"":""Point"",""coordinates"":[179.05350654638522,-16.42933136509859]}"
1_1_1_1_1_1_2_11,2,2,"{""type"":""Point"",""coordinates"":[179.15222436357556,-16.438506996628337]}"
1_1_1_1_1_1_2_12,2,2,"{""type"":""Point"",""coordinates"":[179.15754138101818,-16.43490748299807]}"
1_1_1_1_1_1_2_13,2,2,"{""type"":""Point"",""coordinates"":[179.20970231819388,-16.409066452556274]}"
1_1_1_1_1_1_2_14,2,2,"{""type"":""Point"",""coordinates"":[179.6399072612706,-16.23995659834686]}"
1_1_1_1_1_1_2_15,2,2,"{""type"":""Point"",""coordinates"":[179.64718773054926,-16.238356463449332]}"
1_1_1_1_1_1_2_16,2,2,"{""type"":""Point"",""coordinates"":[179.64973007806202,-16.225322773214025]}"
1_1_1_1_1_1_2_17,2,2,"{""type"":""Point"",""coordinates"":[179.7559732402952,-16.222563865445405]}"
1_1_1_1_1_1_2_18,2,2,"{""type"":""Point"",""coordinates"":[179.7624236021419,-16.22687062545104]}"
1_1_1_1_1_1_2_19,2,2,"{""type"":""Point"",""coordinates"":[179.77529856310753,-16.190113303699487]}"
1_1_1_1_1_1_2_20,2,2,"{""type"":""Point"",""coordinates"":[179.92666277258172,-16.17924773310293]}"
1_1_1_1_1_1_2_21,2,2,"{""type"":""Point"",""coordinates"":[179.75427657532623,-16.41432606596888]}"
1_1_1_1_1_1_2_22,2,2,"{""type"":""Point"",""coordinates"":[179.84517974438654,-16.645220346646045]}"
1_1_1_1_1_1_2_23,2,2,"{""type"":""Point"",""coordinates"":[179.4943072055417,-16.686069595726284]}"
1_1_1_1_1_1_2_24,2,2,"{""type"":""Point"",""coordinates"":[179.47828229010395,-16.71444914674872]}"
1_1_1_1_1_1_2_25,2,2,"{""type"":""Point"",""coordinates"":[179.64252675758877,-16.75631914583544]}"
1_1_1_1_1_1_2_26,2,2,"{""type"":""Point"",""coordinates"":[179.11657330731651,-16.759828413929625]}"
1_1_1_1_1_1_2_27,2,2,"{""type"":""Point"",""coordinates"":[-179.77610271970582,-16.764317016655593]}"
1_1_1_1_1_1_2_28,2,2,"{""type"":""Point"",""coordinates"":[179.10780123153188,-16.797857878251918]}"
1_1_1_1_1_1_2_29,2,2,"{""type"":""Point"",""coordinates"":[179.06922601715496,-16.80087700364202]}"
1_1_1_1_1_1_2_30,2,2,"{""type"":""Point"",""coordinates"":[179.05133656151992,-16.80689499138727]}"
1_1_1_1_1_1_2_31,2,2,"{""type"":""Point"",""coordinates"":[179.0492041364496,-16.817690297558826]}"
1_1_1_1_1_1_2_32,2,2,"{""type"":""Point"",""coordinates"":[-178.96422277558685,-17.196800842559384]}"
1_1_1_1_1_1_2_33,2,2,"{""type"":""Point"",""coordinates"":[-179.01991930794364,-17.182929013659635]}"
1_1_1_1_1_1_2_34,2,2,"{""type"":""Point"",""coordinates"":[178.50453699777904,-16.816154561678314]}"
1_1_1_1_1_1_2_35,2,2,"{""type"":""Point"",""coordinates"":[178.5623922277763,-16.80311915353811]}"
1_1_1_1_1_1_2_36,2,2,"{""type"":""Point"",""coordinates"":[178.58979370649524,-16.8000689952287]}"
1_1_1_1_1_1_2_37,2,2,"{""type"":""Point"",""coordinates"":[177.34571716029757,-16.972901536546836]}"
1_1_1_1_1_1_2_38,2,2,"{""type"":""Point"",""coordinates"":[-178.76444630708235,-18.189412361322557]}"
1_1_1_1_1_1_2_39,2,2,"{""type"":""Point"",""coordinates"":[178.94614880889583,-17.428453300608087]}"
1_1_1_1_1_1_2_40,2,2,"{""type"":""Point"",""coordinates"":[-179.88299082253099,-18.984994424971127]}"
1_1_1_1_1_1_2_41,2,2,"{""type"":""Point"",""coordinates"":[178.30575783106713,-19.000655698835505]}"
1_1_1_1_1_1_2_42,2,2,"{""type"":""Point"",""coordinates"":[178.80381931062755,-17.728855803407736]}"
1_1_1_1_1_1_2_43,2,2,"{""type"":""Point"",""coordinates"":[178.715831534888,-17.714464768957328]}"
1_1_1_1_1_1_2_44,2,2,"{""type"":""Point"",""coordinates"":[178.71925365714844,-17.72786288347136]}"
1_1_1_1_1_1_2_45,2,2,"{""type"":""Point"",""coordinates"":[178.75579309275327,-17.782644239177404]}"
1_1_1_1_1_1_2_46,2,2,"{""type"":""Point"",""coordinates"":[178.25076202924458,-17.48545635814163]}"
1_1_1_1_1_1_2_47,2,2,"{""type"":""Point"",""coordinates"":[178.2901981255626,-17.43949090691208]}"
1_1_1_1_1_1_2_48,2,2,"{""type"":""Point"",""coordinates"":[178.4474141315464,-17.564983409944045]}"
1_1_1_1_1_1_2_49,2,2,"{""type"":""Point"",""coordinates"":[178.48370539536882,-17.57369898200971]}"
1_1_1_1_1_1_2_50,2,2,"{""type"":""Point"",""coordinates"":[177.7338007731958,-17.398638157223274]}"
1_1_1_1_1_1_2_51,2,2,"{""type"":""Point"",""coordinates"":[177.73946559863526,-17.394829594841582]}"
1_1_1_1_1_1_2_52,2,2,"{""type"":""Point"",""coordinates"":[177.79066065504384,-17.393402543239546]}"
1_1_1_1_1_1_2_53,2,2,"{""type"":""Point"",""coordinates"":[177.85863578407773,-17.405131443509095]}"
1_1_1_1_1_1_2_54,2,2,"{""type"":""Point"",""coordinates"":[177.85960382747248,-17.415026381794956]}"
1_1_1_1_1_1_2_55,2,2,"{""type"":""Point"",""coordinates"":[177.86247915553648,-17.41529254480405]}"
1_1_1_1_1_1_2_56,2,2,"{""type"":""Point"",""coordinates"":[177.88517026992577,-17.41764342096344]}"
1_1_1_1_1_1_2_57,2,2,"{""type"":""Point"",""coordinates"":[177.88792346609108,-17.428081283895644]}"
1_1_1_1_1_1_2_58,2,2,"{""type"":""Point"",""coordinates"":[177.81787316836562,-17.432568899222886]}"
1_1_1_1_1_1_2_59,2,2,"{""type"":""Point"",""coordinates"":[177.80538494030554,-17.433558191138786]}"
1_1_1_1_1_1_2_60,2,2,"{""type"":""Point"",""coordinates"":[177.3285146576656,-17.858497147863968]}"
1_1_1_1_1_1_2_61,2,2,"{""type"":""Point"",""coordinates"":[177.26007071543165,-17.98097382927417]}"
1_1_1_1_1_1_2_62,2,2,"{""type"":""Point"",""coordinates"":[177.31462476696697,-18.049698615663825]}"
1_1_1_1_1_1_2_63,2,2,"{""type"":""Point"",""coordinates"":[177.3146277581278,-18.058156322453787]}"
1_1_1_1_1_1_2_64,2,2,"{""type"":""Point"",""coordinates"":[177.44740369787314,-18.144308609636436]}"
1_1_1_1_1_1_2_65,2,2,"{""type"":""Point"",""coordinates"":[177.82955415002465,-18.237902971315165]}"
1_1_1_1_1_1_2_66,2,2,"{""type"":""Point"",""coordinates"":[177.9125624572697,-18.263425822697467]}"
1_1_1_1_1_1_2_67,2,2,"{""type"":""Point"",""coordinates"":[177.91255172843364,-18.261428888998868]}"
1_1_1_1_1_1_2_68,2,2,"{""type"":""Point"",""coordinates"":[177.93305225108102,-18.255427957393557]}"
1_1_1_1_1_1_2_69,2,2,"{""type"":""Point"",""coordinates"":[177.97229658051833,-18.250490343360003]}"
1_1_1_1_1_1_2_70,2,2,"{""type"":""Point"",""coordinates"":[178.1254107887301,-18.26144129290996]}"
1_1_1_1_1_1_2_71,2,2,"{""type"":""Point"",""coordinates"":[178.13120436020228,-18.261604308755008]}"
1_1_1_1_1_1_2_72,2,2,"{""type"":""Point"",""coordinates"":[178.13672556758536,-18.254032936385194]}"
1_1_1_1_1_1_2_73,2,2,"{""type"":""Point"",""coordinates"":[178.1338817853948,-18.243926418306728]}"
1_1_1_1_1_1_2_74,2,2,"{""type"":""Point"",""coordinates"":[178.184840224062,-18.221536245124973]}"
1_1_1_1_1_1_2_75,2,2,"{""type"":""Point"",""coordinates"":[178.2080752111757,-18.206015359125328]}"
1_1_1_1_1_1_2_76,2,2,"{""type"":""Point"",""coordinates"":[178.2482709498728,-18.175643733798278]}"
1_1_1_1_1_1_2_77,2,2,"{""type"":""Point"",""coordinates"":[178.62722118174577,-18.05949908742555]}"
1_1_1_1_1_1_2_78,2,2,"{""type"":""Point"",""coordinates"":[178.62662036692643,-18.06798551629934]}"
1_1_1_1_1_1_2_79,2,2,"{""type"":""Point"",""coordinates"":[178.61546237742448,-18.052481153933947]}"
1_1_1_1_1_1_2_80,2,2,"{""type"":""Point"",""coordinates"":[178.67215939459777,-18.053106031590165]}"
1_1_1_1_1_1_2_81,2,2,"{""type"":""Point"",""coordinates"":[178.6284113221517,-18.038376448884623]}"
1_1_1_1_1_1_2_82,2,2,"{""type"":""Point"",""coordinates"":[178.63139393857625,-18.035152743291267]}"
1_1_1_1_1_1_2_83,2,2,"{""type"":""Point"",""coordinates"":[178.60534307489155,-17.97828065531914]}"
1_1_1_1_1_1_2_84,2,2,"{""type"":""Point"",""coordinates"":[178.6140334320998,-17.982321783324938]}"
1_1_1_1_1_1_2_85,2,2,"{""type"":""Point"",""coordinates"":[178.63190486261243,-17.991065452160925]}"
1_1_1_1_1_1_2_86,2,2,"{""type"":""Point"",""coordinates"":[178.6041425443467,-17.849393117617687]}"
1_1_1_1_1_1_2_87,2,2,"{""type"":""Point"",""coordinates"":[178.60873537470246,-17.834994354586996]}"
1_1_1_1_1_1_2_88,2,2,"{""type"":""Point"",""coordinates"":[178.57494232005837,-17.78144294389176]}"
1_1_1_1_1_1_2_89,2,2,"{""type"":""Point"",""coordinates"":[178.57427713222268,-17.783057112296262]}"
1_1_2_0,6,2,"{""type"":""Point"",""coordinates"":[178.42665928343274,-18.98243871403573]}"
1_2_0,7,2,"{""type"":""Point"",""coordinates"":[179.7762027201951,-19.132183791406593]}"
1_2_1,7,2,"{""type"":""Point"",""coordinates"":[178.66561151233486,-16.670171334294473]}"
2_0,8,2,"{""type"":""Point"",""coordinates"":[178.18619253222136,-18.169007087856368]}"
2_1,8,2,"{""type"":""Point"",""coordinates"":[178.1932808215115,-18.205484279565596]}"
2_2,8,2,"{""type"":""Point"",""coordinates"":[177.97210907677837,-19.146643236772917]}"
2_3,8,2,"{""type"":""Point"",""coordinates"":[178.11962386905327,-19.160937096651185]}"
2_4,8,2,"{""type"":""Point"",""coordinates"":[177.62428015655547,-18.49896162892055]}"
2_5,8,2,"{""type"":""Point"",""coordinates"":[179.3551584255847,-18.058511966544867]}"
2_6,8,2,"{""type"":""Point"",""coordinates"":[-179.79811593815273,-18.940480685160697]}"
