system:index,class,strata,.geo
1_1_1_1_1_2_0,3,7,"{""type"":""Point"",""coordinates"":[177.7470863624011,-18.146198540817725]}"
1_1_1_2_0,5,7,"{""type"":""Point"",""coordinates"":[179.40474178128693,-16.533182294104442]}"
1_1_2_0,6,7,"{""type"":""Point"",""coordinates"":[177.30466716937156,-17.891252111536957]}"
1_1_2_1,6,7,"{""type"":""Point"",""coordinates"":[177.46043190900446,-17.94236009790532]}"
1_1_2_2,6,7,"{""type"":""Point"",""coordinates"":[177.49312960882315,-17.95296391205554]}"
1_1_2_3,6,7,"{""type"":""Point"",""coordinates"":[177.5175620607008,-17.91802000047922]}"
1_1_2_4,6,7,"{""type"":""Point"",""coordinates"":[177.55340750545423,-17.827201614177586]}"
1_1_2_5,6,7,"{""type"":""Point"",""coordinates"":[177.5642809859712,-17.968771366415208]}"
1_1_2_6,6,7,"{""type"":""Point"",""coordinates"":[177.6717145194948,-18.013696697139146]}"
1_1_2_7,6,7,"{""type"":""Point"",""coordinates"":[177.7218428831084,-17.925748145256758]}"
1_1_2_8,6,7,"{""type"":""Point"",""coordinates"":[177.8752776867069,-17.913799799860026]}"
1_1_2_9,6,7,"{""type"":""Point"",""coordinates"":[177.88956038233601,-17.61699253807157]}"
1_1_2_10,6,7,"{""type"":""Point"",""coordinates"":[177.80529843229772,-17.54396208020703]}"
1_1_2_11,6,7,"{""type"":""Point"",""coordinates"":[178.11799778412058,-17.536691099344626]}"
1_1_2_12,6,7,"{""type"":""Point"",""coordinates"":[178.14710600075443,-17.484671453107403]}"
1_1_2_13,6,7,"{""type"":""Point"",""coordinates"":[178.21321939997392,-17.444072708716362]}"
1_1_2_14,6,7,"{""type"":""Point"",""coordinates"":[-179.8045034440234,-18.940936923382708]}"
1_1_2_15,6,7,"{""type"":""Point"",""coordinates"":[-179.3000048003269,-17.74087670843496]}"
1_1_2_16,6,7,"{""type"":""Point"",""coordinates"":[179.4027700309598,-16.789831562564228]}"
1_1_2_17,6,7,"{""type"":""Point"",""coordinates"":[179.358207177745,-16.7866840744523]}"
1_1_2_18,6,7,"{""type"":""Point"",""coordinates"":[178.65420517991936,-16.83528343280794]}"
1_2_0,7,7,"{""type"":""Point"",""coordinates"":[177.41542875040767,-16.907599685599006]}"
1_2_1,7,7,"{""type"":""Point"",""coordinates"":[177.34697433528783,-16.95673668747175]}"
1_2_2,7,7,"{""type"":""Point"",""coordinates"":[177.14098357772764,-17.273480903077]}"
1_2_3,7,7,"{""type"":""Point"",""coordinates"":[177.1329945881401,-17.309052058832933]}"
1_2_4,7,7,"{""type"":""Point"",""coordinates"":[177.37994560563848,-18.022405213908943]}"
1_2_5,7,7,"{""type"":""Point"",""coordinates"":[177.49007298257663,-17.964905938314583]}"
1_2_6,7,7,"{""type"":""Point"",""coordinates"":[177.47624254179595,-17.88191014479511]}"
1_2_7,7,7,"{""type"":""Point"",""coordinates"":[177.5124436131269,-17.866548997744683]}"
1_2_8,7,7,"{""type"":""Point"",""coordinates"":[177.54352692845816,-17.8733746722545]}"
1_2_9,7,7,"{""type"":""Point"",""coordinates"":[177.5263660352561,-17.823074564107188]}"
1_2_10,7,7,"{""type"":""Point"",""coordinates"":[177.51674403927063,-17.780398486593427]}"
1_2_11,7,7,"{""type"":""Point"",""coordinates"":[177.62499961150223,-17.820112636882815]}"
1_2_12,7,7,"{""type"":""Point"",""coordinates"":[177.60173430127736,-17.965273453660963]}"
