system:index,class,strata,.geo
1_1_1_1_1_1_2_0,2,8,"{""type"":""Point"",""coordinates"":[-178.96699115433432,-17.196940196315733]}"
1_1_2_0,6,8,"{""type"":""Point"",""coordinates"":[-179.87268205090547,-16.713467107264773]}"
1_1_2_1,6,8,"{""type"":""Point"",""coordinates"":[178.30215516032663,-17.897189776202296]}"
1_2_0,7,8,"{""type"":""Point"",""coordinates"":[-178.7725124645735,-18.215808473594898]}"
1_2_1,7,8,"{""type"":""Point"",""coordinates"":[-179.3088067411355,-17.733685844044583]}"
1_2_2,7,8,"{""type"":""Point"",""coordinates"":[-179.2969529852201,-17.747257394905876]}"
1_2_3,7,8,"{""type"":""Point"",""coordinates"":[-179.1766644234441,-17.459159947235335]}"
1_2_4,7,8,"{""type"":""Point"",""coordinates"":[179.7381956420296,-16.401405866074104]}"
1_2_5,7,8,"{""type"":""Point"",""coordinates"":[177.92351188057654,-17.914697817458915]}"
1_2_6,7,8,"{""type"":""Point"",""coordinates"":[177.86773058387723,-17.659397696860246]}"
1_2_7,7,8,"{""type"":""Point"",""coordinates"":[178.1343482329013,-17.491507836426035]}"
1_2_8,7,8,"{""type"":""Point"",""coordinates"":[178.1235711794194,-17.597327751862736]}"
1_2_9,7,8,"{""type"":""Point"",""coordinates"":[178.1806191675878,-17.655002172540033]}"
1_2_10,7,8,"{""type"":""Point"",""coordinates"":[178.38651078178324,-17.749325410908625]}"
1_2_11,7,8,"{""type"":""Point"",""coordinates"":[178.31608069494294,-17.8844292661372]}"
2_0,8,8,"{""type"":""Point"",""coordinates"":[177.96826146112392,-19.115553061396223]}"
2_1,8,8,"{""type"":""Point"",""coordinates"":[177.9784869163277,-19.12868746693841]}"
2_2,8,8,"{""type"":""Point"",""coordinates"":[178.1729561437392,-19.1366781016267]}"
2_3,8,8,"{""type"":""Point"",""coordinates"":[178.3486868466967,-19.02267741477485]}"
2_4,8,8,"{""type"":""Point"",""coordinates"":[179.76551637676596,-19.178903500642452]}"
2_5,8,8,"{""type"":""Point"",""coordinates"":[179.90158518019194,-18.570463974956343]}"
2_6,8,8,"{""type"":""Point"",""coordinates"":[-178.6043955012809,-19.14250679032745]}"
2_7,8,8,"{""type"":""Point"",""coordinates"":[-178.66694105877275,-18.842306023388954]}"
2_8,8,8,"{""type"":""Point"",""coordinates"":[-178.81095827088689,-17.68697554722214]}"
2_9,8,8,"{""type"":""Point"",""coordinates"":[-179.89945686804808,-16.84132118240082]}"
