system:index,class,strata,.geo
1_1_1_1_1_1_1_0,1,4,"{""type"":""Point"",""coordinates"":[-179.97239263837614,-16.936255917502233]}"
1_1_1_1_1_1_1_1,1,4,"{""type"":""Point"",""coordinates"":[-178.976790361287,-18.9358986710964]}"
1_1_1_1_1_1_1_2,1,4,"{""type"":""Point"",""coordinates"":[177.65303243816447,-18.582680644445645]}"
1_1_1_1_1_1_1_3,1,4,"{""type"":""Point"",""coordinates"":[177.37904687678795,-16.960143218403104]}"
1_1_1_1_1_2_0,3,4,"{""type"":""Point"",""coordinates"":[178.78005756223752,-16.69649621787978]}"
1_1_1_1_1_2_1,3,4,"{""type"":""Point"",""coordinates"":[178.8436594324981,-16.564353811857995]}"
1_1_1_1_1_2_2,3,4,"{""type"":""Point"",""coordinates"":[178.84590048406682,-16.563903482779832]}"
1_1_1_1_1_2_3,3,4,"{""type"":""Point"",""coordinates"":[178.8581998101696,-16.597407192839945]}"
1_1_1_1_1_2_4,3,4,"{""type"":""Point"",""coordinates"":[179.43887807860693,-17.29305702574059]}"
1_1_1_1_1_2_5,3,4,"{""type"":""Point"",""coordinates"":[177.9447152429085,-19.125981903892388]}"
1_1_1_1_1_2_6,3,4,"{""type"":""Point"",""coordinates"":[177.61063315932006,-18.530772556997235]}"
1_1_1_1_1_2_7,3,4,"{""type"":""Point"",""coordinates"":[177.21456358553462,-17.148433035939494]}"
1_1_1_1_1_2_8,3,4,"{""type"":""Point"",""coordinates"":[177.25705289883595,-17.120858029294673]}"
1_1_1_1_1_2_9,3,4,"{""type"":""Point"",""coordinates"":[177.34858108041874,-18.12383311432623]}"
1_1_1_1_1_2_10,3,4,"{""type"":""Point"",""coordinates"":[177.45648208896137,-18.15805407659822]}"
1_1_1_1_1_2_11,3,4,"{""type"":""Point"",""coordinates"":[177.6161147491665,-18.188599728050832]}"
1_1_1_1_1_2_12,3,4,"{""type"":""Point"",""coordinates"":[177.78894188526644,-18.234861570963147]}"
1_1_1_1_1_2_13,3,4,"{""type"":""Point"",""coordinates"":[177.50706253983878,-17.80168390531488]}"
1_1_1_1_1_2_14,3,4,"{""type"":""Point"",""coordinates"":[177.51047060542237,-17.80474544272471]}"
1_1_1_1_1_2_15,3,4,"{""type"":""Point"",""coordinates"":[177.79657953540743,-17.91568470787854]}"
1_1_1_1_1_2_16,3,4,"{""type"":""Point"",""coordinates"":[177.88912034029897,-17.904725661331312]}"
1_1_1_1_1_2_17,3,4,"{""type"":""Point"",""coordinates"":[177.87769748866947,-17.932300230306907]}"
1_1_1_1_1_2_18,3,4,"{""type"":""Point"",""coordinates"":[178.07955200927665,-18.05267959258756]}"
1_1_1_1_1_2_19,3,4,"{""type"":""Point"",""coordinates"":[178.15653301363335,-18.2159913004922]}"
1_1_1_1_1_2_20,3,4,"{""type"":""Point"",""coordinates"":[178.31095431451598,-17.97569111708464]}"
1_1_1_1_1_2_21,3,4,"{""type"":""Point"",""coordinates"":[178.2132170701327,-17.752993652845817]}"
1_1_1_1_1_2_22,3,4,"{""type"":""Point"",""coordinates"":[178.5213425085206,-17.793873028425878]}"
1_1_1_1_1_2_23,3,4,"{""type"":""Point"",""coordinates"":[178.47247479411465,-17.790278728600796]}"
1_1_1_1_1_2_24,3,4,"{""type"":""Point"",""coordinates"":[-179.97472726438417,-15.71534779260321]}"
1_1_1_1_1_2_25,3,4,"{""type"":""Point"",""coordinates"":[177.68357530241008,-17.952700091240793]}"
1_1_1_1_2_0,4,4,"{""type"":""Point"",""coordinates"":[178.82309198429118,-17.728026306964125]}"
1_1_1_1_2_1,4,4,"{""type"":""Point"",""coordinates"":[178.76675988196564,-17.713924653793413]}"
1_1_1_1_2_2,4,4,"{""type"":""Point"",""coordinates"":[178.85443452266134,-16.61231719330345]}"
1_1_1_1_2_3,4,4,"{""type"":""Point"",""coordinates"":[179.25751490490268,-16.68984413894832]}"
1_1_1_1_2_4,4,4,"{""type"":""Point"",""coordinates"":[179.73218224508025,-16.29584611878256]}"
1_1_1_1_2_5,4,4,"{""type"":""Point"",""coordinates"":[179.68313046578908,-16.48619690637408]}"
1_1_1_1_2_6,4,4,"{""type"":""Point"",""coordinates"":[179.38147059389757,-16.80160224506544]}"
1_1_1_1_2_7,4,4,"{""type"":""Point"",""coordinates"":[-179.86001032473573,-16.757936296726438]}"
1_1_1_1_2_8,4,4,"{""type"":""Point"",""coordinates"":[-179.85830671799545,-16.805009231529443]}"
1_1_1_1_2_9,4,4,"{""type"":""Point"",""coordinates"":[179.90932956663067,-16.94703214143291]}"
1_1_1_1_2_10,4,4,"{""type"":""Point"",""coordinates"":[-179.29381117992602,-17.01206617917325]}"
1_1_1_1_2_11,4,4,"{""type"":""Point"",""coordinates"":[-179.29326856277746,-17.73215838231267]}"
1_1_1_1_2_12,4,4,"{""type"":""Point"",""coordinates"":[178.15752377925992,-19.052950689279704]}"
1_1_1_1_2_13,4,4,"{""type"":""Point"",""coordinates"":[177.6400975163824,-18.538744290715176]}"
1_1_1_1_2_14,4,4,"{""type"":""Point"",""coordinates"":[177.0997588742871,-17.674559196166626]}"
1_1_1_1_2_15,4,4,"{""type"":""Point"",""coordinates"":[177.06525481374695,-17.59849227536123]}"
1_1_1_1_2_16,4,4,"{""type"":""Point"",""coordinates"":[177.25903211812556,-17.944609870228078]}"
1_1_1_1_2_17,4,4,"{""type"":""Point"",""coordinates"":[177.3642192211227,-17.88900333017317]}"
1_1_1_1_2_18,4,4,"{""type"":""Point"",""coordinates"":[177.32531618287976,-18.01099337844624]}"
1_1_1_1_2_19,4,4,"{""type"":""Point"",""coordinates"":[177.3524573868724,-18.0606753250515]}"
