system:index,class,strata,.geo
1_1_1_1_1_1_1_0,1,1,"{""type"":""Point"",""coordinates"":[177.48235084447845,-16.828181683042647]}"
1_1_1_1_1_1_1_1,1,1,"{""type"":""Point"",""coordinates"":[177.49896904936384,-16.789286527804578]}"
1_1_1_1_1_1_1_2,1,1,"{""type"":""Point"",""coordinates"":[177.56104253178916,-16.749131371734165]}"
1_1_1_1_1_1_1_3,1,1,"{""type"":""Point"",""coordinates"":[177.3406852683509,-16.988173994202015]}"
1_1_1_1_1_1_1_4,1,1,"{""type"":""Point"",""coordinates"":[177.207200371566,-17.12795178692782]}"
1_1_1_1_1_1_1_5,1,1,"{""type"":""Point"",""coordinates"":[176.93105092732176,-17.123464049814878]}"
1_1_1_1_1_1_1_6,1,1,"{""type"":""Point"",""coordinates"":[177.13380503360423,-17.32162635903779]}"
1_1_1_1_1_1_1_7,1,1,"{""type"":""Point"",""coordinates"":[177.86952169594565,-17.464824707735424]}"
1_1_1_1_1_1_1_8,1,1,"{""type"":""Point"",""coordinates"":[177.2699800920778,-18.00793534724734]}"
1_1_1_1_1_1_1_9,1,1,"{""type"":""Point"",""coordinates"":[177.3337723623373,-18.08743928896667]}"
1_1_1_1_1_1_1_10,1,1,"{""type"":""Point"",""coordinates"":[177.5411927408826,-18.17071512923047]}"
1_1_1_1_1_1_1_11,1,1,"{""type"":""Point"",""coordinates"":[177.99115943414205,-18.266296176049178]}"
1_1_1_1_1_1_1_12,1,1,"{""type"":""Point"",""coordinates"":[178.06723522495497,-18.24716892925162]}"
1_1_1_1_1_1_1_13,1,1,"{""type"":""Point"",""coordinates"":[177.81266115189646,-17.91326197013481]}"
1_1_1_1_1_1_1_14,1,1,"{""type"":""Point"",""coordinates"":[178.09931375468847,-18.41946082181167]}"
1_1_1_1_1_1_1_15,1,1,"{""type"":""Point"",""coordinates"":[178.15014631868553,-18.1881588115653]}"
1_1_1_1_1_1_1_16,1,1,"{""type"":""Point"",""coordinates"":[178.06831211965766,-18.120050503680464]}"
1_1_1_1_1_1_1_17,1,1,"{""type"":""Point"",""coordinates"":[178.30799445923856,-17.952696057749108]}"
1_1_1_1_1_1_1_18,1,1,"{""type"":""Point"",""coordinates"":[178.40987035036903,-17.934455646294335]}"
1_1_1_1_1_1_1_19,1,1,"{""type"":""Point"",""coordinates"":[178.00049741792395,-17.719129567081357]}"
1_1_1_1_1_1_1_20,1,1,"{""type"":""Point"",""coordinates"":[178.16236716929325,-17.758126870354573]}"
1_1_1_1_1_1_1_21,1,1,"{""type"":""Point"",""coordinates"":[178.23522869556007,-17.77078602676361]}"
1_1_1_1_1_1_1_22,1,1,"{""type"":""Point"",""coordinates"":[178.22973506600954,-17.65149266822237]}"
1_1_1_1_1_1_1_23,1,1,"{""type"":""Point"",""coordinates"":[178.25920225773348,-17.63549144940341]}"
1_1_1_1_1_1_1_24,1,1,"{""type"":""Point"",""coordinates"":[178.11161416396476,-17.529491829600236]}"
1_1_1_1_1_1_1_25,1,1,"{""type"":""Point"",""coordinates"":[178.20548832746624,-17.548551811092736]}"
1_1_1_1_1_1_1_26,1,1,"{""type"":""Point"",""coordinates"":[178.3374624078159,-17.494908152376237]}"
1_1_1_1_1_1_1_27,1,1,"{""type"":""Point"",""coordinates"":[178.51968422490432,-18.006519263576852]}"
1_1_1_1_1_1_1_28,1,1,"{""type"":""Point"",""coordinates"":[178.52244720337728,-18.0176884969151]}"
1_1_1_1_1_1_1_29,1,1,"{""type"":""Point"",""coordinates"":[178.52232899204432,-18.01576068470971]}"
1_1_1_1_1_1_1_30,1,1,"{""type"":""Point"",""coordinates"":[178.6093531340748,-18.059404892240572]}"
1_1_1_1_1_1_1_31,1,1,"{""type"":""Point"",""coordinates"":[178.57921331911018,-17.978213461759413]}"
1_1_1_1_1_1_1_32,1,1,"{""type"":""Point"",""coordinates"":[178.53283113160342,-17.86534286034466]}"
1_1_1_1_1_1_1_33,1,1,"{""type"":""Point"",""coordinates"":[178.70189318664433,-17.997624447945448]}"
1_1_1_1_1_1_1_34,1,1,"{""type"":""Point"",""coordinates"":[178.5919457477222,-17.79064528517507]}"
1_1_1_1_1_1_1_35,1,1,"{""type"":""Point"",""coordinates"":[178.5801069732746,-17.643450746062282]}"
1_1_1_1_1_1_1_36,1,1,"{""type"":""Point"",""coordinates"":[178.71492915412034,-17.72308361453705]}"
1_1_1_1_1_1_1_37,1,1,"{""type"":""Point"",""coordinates"":[178.67846549028826,-17.589059404531238]}"
1_1_1_1_1_1_1_38,1,1,"{""type"":""Point"",""coordinates"":[178.7555344643664,-17.63271625237354]}"
1_1_1_1_1_1_1_39,1,1,"{""type"":""Point"",""coordinates"":[178.80899670280553,-17.737458403708395]}"
1_1_1_1_1_1_1_40,1,1,"{""type"":""Point"",""coordinates"":[179.39366761488617,-17.777699778974455]}"
1_1_1_1_1_1_1_41,1,1,"{""type"":""Point"",""coordinates"":[179.40275480364346,-17.830167899654302]}"
